Geo Point;Geo Shape;ID_REF_ZDL;NOM_LONG;LABEL;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;EXPLOITANT;PRINCIPAL;IDF;X;Y
48.8360967841, 2.27823795192;"{""type"": ""Point"", ""coordinates"": [2.278237951915641, 48.83609678405708]}";45357;BALARD;Balard;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;M8;0;0;0;RATP;0;1;595721.356;126181.661
48.8546821569, 2.3060974037;"{""type"": ""Point"", ""coordinates"": [2.306097403704285, 48.85468215688774]}";42885;ECOLE MILITAIRE;École Militaire;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;597767.29;128247.158
48.8577254129, 2.31056596095;"{""type"": ""Point"", ""coordinates"": [2.310565960946846, 48.85772541289345]}";43409;LA TOUR MAUBOURG;La Tour Maubourg;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;598095.311;128585.448
48.8714977394, 2.34315477308;"{""type"": ""Point"", ""coordinates"": [2.343154773075233, 48.87149773935003]}";43310;GRANDS BOULEVARDS (RUE MONTMARTRE);Grands Boulevards;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;600486.406;130116.636
48.8701642009, 2.35049797186;"{""type"": ""Point"", ""coordinates"": [2.350497971863092, 48.87016420090056]}";45100;BONNE NOUVELLE;Bonne Nouvelle;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;601025.095;129968.42
48.8296748438, 2.23079959132;"{""type"": ""Point"", ""coordinates"": [2.230799591317221, 48.82967484383875]}";44481;PONT DE SEVRES;Pont de Sèvres;Metro;0;0;0;1;0;0;0;0;0;0;M9;0;0;0;RATP;0;1;592238.031;125471.342
48.5860078908, 2.24107007819;"{""type"": ""Point"", ""coordinates"": [2.241070078191465, 48.58600789078272]}";43068;ARPAJON;ARPAJON;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;592957.587;98374.24
48.5775084903, 2.19206307147;"{""type"": ""Point"", ""coordinates"": [2.192063071468181, 48.57750849034971]}";47925;BREUILLET-BRUYERES-LE-CHATEL;BREUILLET BRUYÈRES-LE-CHÂTEL;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;589340.19;97434.858
48.4849573763, 2.35185842143;"{""type"": ""Point"", ""coordinates"": [2.351858421428081, 48.48495737627691]}";43142;LA FERTE-ALAIS;LA FERTÉ-ALAIS;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;601133.435;87132.714
48.3936415468, 2.39341072138;"{""type"": ""Point"", ""coordinates"": [2.39341072137538, 48.393641546827375]}";43156;MAISSE;MAISSE;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;604212.878;76979.447
